Interest,Work_Style,Strengths,Communication_Skills,Leadership_Skills,Teamwork_Skills,Decision_Making,Aptitude_Level,Field_of_Study,Years_of_Experience,Adaptability,Time_Management,Problem_Solving,Emotional_Intelligence,Stress_Tolerance,Learning_Style,Certifications_Count,Technical_Skill_Level,Career_Goals,Location_Preference,Willing_to_Relocate,Highest_Degree,GPA,Industry_of_Experience,Internship_Experience,Remote_Work_Experience,Risk_Tolerance,Routine_vs_Dynamic_Work,Introvert_Extrovert_Score,Creativity_Score,Courses_Completed,Work_Hour_Flexibility,Workplace_Preference,Work_Life_Balance_Preference,Salary_Expectation,Value_Priority,LinkedIn_Portfolio,GitHub_Repos,Public_Speaking_Experience,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Predicted_Career_Field
Architecture,Collaborative,Practical,High,Medium,Medium,High,Low,Journalism,3,Medium,Low,Low,Medium,Low,Kinesthetic,4,Medium,Hospitality,Flexible,No,Masters,2.99,Construction,No,Yes,Low,Dynamic,Medium,Low,4,Freelance,Hybrid,Low,30kâ€“60k,Recognition,Yes,15,Yes,Low,High,High,Low,High,Flight Attendant
Consulting,Flexible,Analytical,Low,Medium,High,Low,Low,Psychology,14,High,Medium,Low,Low,Medium,Visual,4,Medium,Arts,Urban,No,Masters,3.03,Tech,No,No,Low,Routine,High,Low,10,9â€“5,On-site,High,60kâ€“100k,Security,Yes,14,Yes,Low,High,High,Medium,Medium,AI Researcher
Design,Independent,Analytical,Medium,Low,Low,Medium,Low,Engineering,15,Medium,High,Medium,Low,Medium,Visual,5,Medium,Technology,Flexible,No,Diploma,3.84,Retail,Yes,Yes,High,Dynamic,Medium,Medium,6,9â€“5,Hybrid,Medium,<30k,Helping Others,Yes,4,No,High,Medium,Medium,High,High,Biotechnologist
Consulting,Collaborative,Analytical,High,Medium,Medium,Medium,Low,Finance,20,Low,High,Medium,Low,Medium,Auditory,0,Medium,Technology,Flexible,No,Bachelors,3.67,Arts,No,Yes,Medium,Dynamic,Medium,Low,7,Freelance,On-site,Low,60kâ€“100k,Innovation,Yes,20,Yes,Medium,High,Medium,Low,Medium,Investment Banker
Human Resources,Flexible,Creative,Low,Medium,High,Medium,Low,Accounting,20,Medium,Low,High,Medium,Medium,Kinesthetic,4,Medium,Doctor,Urban,No,Masters,2.4,Retail,Yes,Yes,High,Routine,Medium,Medium,7,9â€“5,Hybrid,High,60kâ€“100k,Innovation,Yes,20,No,High,Medium,Low,High,Medium,UX/UI Designer
Arts,Independent,Analytical,Medium,High,High,High,Low,Business Administration,9,Medium,Medium,Medium,Medium,Low,Visual,3,Low,Consulting,Flexible,No,PhD,3.87,Tech,No,Yes,Low,Routine,Low,Medium,0,9â€“5,Hybrid,Low,<30k,Innovation,Yes,2,Yes,Low,Medium,Low,Medium,Medium,Astronomer
Hospitality,Flexible,Analytical,Low,Low,Medium,High,Low,Civil Engineering,6,Medium,High,Medium,Low,Medium,Visual,3,High,Technology,Flexible,Yes,PhD,3.96,Retail,No,No,Medium,Dynamic,Low,Low,3,Shifts,Hybrid,Low,30kâ€“60k,Helping Others,No,14,Yes,Medium,Medium,Low,Low,Medium,Entrepreneur
Journalism,Independent,Analytical,Medium,Low,Low,Medium,Medium,Marketing,1,Medium,Medium,Low,High,Medium,Kinesthetic,0,Medium,Human Resources,Flexible,No,PhD,2.86,Education,Yes,No,High,Routine,Medium,Low,10,Freelance,On-site,Low,30kâ€“60k,Security,No,16,Yes,High,High,High,Medium,High,Sales
Business,Flexible,Analytical,Medium,Low,Low,Low,Medium,Business Administration,20,Low,Low,Low,Medium,Low,Kinesthetic,1,Low,Marketing,Urban,No,Masters,3.9,Law,Yes,Yes,High,Routine,Medium,Low,1,9â€“5,Hybrid,Low,30kâ€“60k,Security,Yes,13,No,Medium,High,Medium,Low,Low,Civil Engineer
Engineering,Flexible,Practical,Low,High,Medium,Medium,Low,Statistics,6,Low,Low,Medium,Medium,Medium,Visual,2,Low,Sales,Rural,Yes,Bachelors,2.68,Arts,Yes,Yes,Low,Routine,Medium,Low,6,Freelance,Hybrid,Low,<30k,Security,No,11,No,Low,Low,Medium,Medium,High,Finance
Business,Collaborative,Practical,High,Medium,High,High,Low,Computer Science,9,High,Low,High,Medium,High,Kinesthetic,5,Medium,Legal,Rural,No,Diploma,2.45,Law,Yes,No,Low,Routine,Medium,Medium,8,Shifts,Remote,High,30kâ€“60k,Recognition,Yes,0,No,Medium,High,High,Medium,High,Software Developer
Public Relations,Independent,Creative,Medium,Medium,High,Low,Low,Economics,2,Low,Medium,High,Medium,Low,Auditory,3,High,Sales,Urban,Yes,PhD,2.29,Education,Yes,No,High,Routine,Medium,Medium,9,Freelance,Remote,Low,>100k,Security,Yes,18,No,Low,Medium,Low,Medium,Medium,Pharmacist
Business,Collaborative,Strategic,High,Low,Low,High,Low,Accounting,3,High,High,Medium,Medium,Medium,Auditory,3,High,Public Relations,Rural,Yes,Diploma,3.39,Education,No,No,Low,Dynamic,Low,Medium,9,Freelance,On-site,High,<30k,Recognition,Yes,3,Yes,Medium,High,High,Low,Medium,Engineering
Hospitality,Collaborative,Creative,Low,Low,High,Low,Medium,Marketing,11,High,Medium,Low,Low,Low,Visual,5,Medium,Technology,Flexible,No,Bachelors,2.84,Finance,No,Yes,High,Dynamic,Medium,Medium,1,Shifts,Hybrid,High,30kâ€“60k,Security,Yes,0,Yes,Low,Low,Low,Medium,Low,Dentist
Human Resources,Independent,Creative,High,Low,Medium,Low,Low,Physics,5,Low,Medium,Low,Medium,Medium,Auditory,1,High,Consulting,Flexible,Yes,Bachelors,2.99,Arts,No,No,Low,Routine,High,Medium,6,Freelance,On-site,Medium,60kâ€“100k,Innovation,Yes,11,Yes,High,High,Medium,Low,Low,Business
Arts,Independent,Practical,High,Low,High,Medium,Low,Architecture,18,High,Medium,Medium,Low,High,Auditory,1,Medium,Doctor,Flexible,Yes,PhD,3.42,Healthcare,Yes,Yes,Low,Dynamic,Medium,Low,6,Freelance,On-site,High,>100k,Security,Yes,20,No,High,Low,Medium,Medium,Medium,AI Researcher
Teaching,Collaborative,Creative,High,Medium,High,High,Low,Computer Science,11,High,Medium,Low,High,Medium,Reading/Writing,2,High,Design,Flexible,No,Masters,3.32,Tech,No,No,Medium,Routine,Low,Medium,1,Shifts,Hybrid,Medium,>100k,Security,No,9,No,Medium,High,Low,Low,Low,Dentist
Marketing,Flexible,Creative,Low,High,Low,Medium,Low,Mechanical Engineering,11,High,Medium,Medium,Medium,High,Reading/Writing,1,Medium,Medical,Rural,No,Diploma,2.07,Retail,Yes,Yes,Low,Routine,Medium,Medium,6,Freelance,Hybrid,High,<30k,Security,Yes,18,No,Low,Medium,High,Medium,High,AI Researcher
Consulting,Flexible,Creative,Low,Low,High,Medium,Low,Law,19,High,Medium,Medium,Medium,Low,Reading/Writing,0,Medium,Arts,Urban,Yes,Masters,2.66,Healthcare,No,Yes,Medium,Dynamic,Medium,High,1,Freelance,Remote,Medium,<30k,Innovation,No,14,Yes,Low,Medium,Low,Medium,Low,Business
Architecture,Collaborative,Practical,High,Medium,Medium,High,Medium,Civil Engineering,4,Low,Low,High,Low,High,Reading/Writing,3,Medium,Technology,Rural,No,Diploma,2.55,Healthcare,No,Yes,Medium,Routine,Medium,Low,7,Shifts,On-site,High,>100k,Security,No,11,Yes,Medium,Medium,Low,High,Medium,Data Scientist
Lawyer,Collaborative,Strategic,Medium,Medium,Medium,High,Medium,Graphic Design,9,Low,High,High,High,Low,Auditory,4,Medium,Technology,Urban,Yes,Masters,2.65,Education,No,No,Low,Dynamic,Low,Medium,10,9â€“5,On-site,Low,30kâ€“60k,Security,Yes,6,Yes,Low,High,Low,High,Low,Sales
Architecture,Independent,Strategic,Medium,High,High,High,Low,Mechanical Engineering,11,Medium,High,Medium,Low,High,Auditory,0,Medium,Arts,Flexible,No,PhD,3.86,Retail,No,No,Low,Dynamic,High,Low,2,9â€“5,Hybrid,Low,60kâ€“100k,Recognition,Yes,9,Yes,High,Low,Medium,High,Medium,Doctor
Public Relations,Independent,Creative,Medium,High,High,Low,Medium,Philosophy,1,High,High,Medium,Medium,High,Kinesthetic,0,High,Sales,Rural,Yes,Diploma,3.49,Education,No,Yes,Low,Routine,Low,Medium,3,Freelance,On-site,Low,60kâ€“100k,Innovation,No,10,No,High,Medium,Medium,Low,Medium,Veterinarian
Lawyer,Collaborative,Creative,Low,Medium,High,High,Low,Sociology,4,High,Low,High,Low,Low,Kinesthetic,5,Low,Journalism,Rural,Yes,PhD,2.74,Law,No,Yes,Low,Routine,Low,Medium,1,Freelance,Hybrid,Medium,60kâ€“100k,Recognition,No,16,Yes,Medium,Medium,High,Low,Medium,Education
Design,Collaborative,Creative,Medium,Medium,High,High,Low,Law,1,High,Low,Medium,High,Low,Kinesthetic,5,Low,Engineering,Urban,Yes,Bachelors,2.73,Arts,No,No,Low,Routine,Medium,High,5,9â€“5,On-site,Low,60kâ€“100k,Recognition,Yes,13,Yes,Medium,Medium,Medium,High,Medium,Entrepreneur
Public Relations,Independent,Creative,Medium,Medium,Medium,High,Medium,Statistics,13,Medium,High,Low,Low,High,Auditory,5,Medium,Technology,Urban,Yes,Masters,2.5,Tech,Yes,Yes,Medium,Dynamic,High,Medium,3,9â€“5,On-site,High,30kâ€“60k,Helping Others,No,4,Yes,Low,Low,Low,Medium,Medium,Chef
Human Resources,Independent,Creative,Medium,Medium,Medium,Low,Low,Marketing,4,High,Medium,Low,Low,Medium,Auditory,1,Low,Human Resources,Flexible,No,Bachelors,2.79,Retail,No,No,Low,Routine,Low,High,9,Freelance,Hybrid,High,30kâ€“60k,Helping Others,No,12,Yes,Medium,Medium,Low,Low,Low,Veterinarian
Hospitality,Flexible,Strategic,High,High,Low,High,Medium,Engineering,0,Medium,Medium,High,Medium,Low,Kinesthetic,5,Low,Public Relations,Flexible,Yes,Diploma,3.84,Law,Yes,No,Medium,Routine,Medium,High,2,Shifts,Remote,Low,60kâ€“100k,Security,Yes,12,Yes,Low,Low,Low,High,Medium,Biotechnologist
Doctor,Flexible,Creative,Medium,Low,Medium,Low,Low,Physics,14,Low,Low,Medium,Low,Medium,Auditory,3,Medium,Hospitality,Flexible,Yes,PhD,2.04,Law,Yes,No,Low,Routine,Medium,Medium,1,Shifts,Hybrid,Medium,>100k,Security,No,7,Yes,Low,Medium,Low,Medium,Low,Journalism
Mathematics,Collaborative,Analytical,Medium,High,High,High,Low,Engineering,14,High,Medium,Low,Low,Medium,Kinesthetic,1,Medium,Teaching,Flexible,No,PhD,2.3,Construction,No,Yes,Medium,Routine,High,Low,0,Shifts,On-site,Low,30kâ€“60k,Innovation,Yes,8,No,Low,High,Low,High,Medium,Architecture
Human Resources,Flexible,Practical,Low,Medium,Low,Low,Medium,Nursing,13,Medium,Low,High,High,High,Kinesthetic,0,Medium,Human Resources,Urban,No,Diploma,2.16,Education,Yes,Yes,Medium,Routine,Medium,Low,6,Shifts,Hybrid,Low,<30k,Security,No,14,Yes,Low,Low,High,Low,Medium,Astronomer
Human Resources,Flexible,Practical,High,High,Low,Low,Medium,Graphic Design,1,Low,Low,High,Medium,High,Kinesthetic,5,Low,Journalism,Urban,No,Bachelors,2.36,Healthcare,No,No,Low,Dynamic,Low,Low,7,9â€“5,On-site,High,>100k,Innovation,No,18,No,Low,Medium,Low,High,Medium,Dentist
Finance,Flexible,Strategic,Medium,Low,Low,Low,Low,Engineering,3,High,High,Medium,Low,Medium,Kinesthetic,1,Low,Lawyer,Urban,No,Masters,2.56,Retail,No,Yes,Medium,Dynamic,High,Medium,1,9â€“5,Remote,Low,30kâ€“60k,Recognition,Yes,19,Yes,Low,High,Low,High,Medium,Actuary
Teaching,Flexible,Creative,Medium,High,Medium,Low,Low,Information Technology,1,High,High,Low,High,High,Auditory,0,High,Legal,Urban,No,Bachelors,3.93,Arts,No,No,Low,Dynamic,High,High,1,Shifts,Hybrid,High,>100k,Security,Yes,19,No,Medium,High,Medium,High,Medium,SEO Specialist
Legal,Collaborative,Analytical,Low,Low,Low,High,Medium,Law,11,High,High,Medium,Medium,Low,Kinesthetic,5,Medium,Lawyer,Urban,No,Masters,2.93,Arts,No,Yes,High,Dynamic,Low,Low,9,Freelance,On-site,Low,60kâ€“100k,Recognition,No,19,No,Low,High,High,Low,High,Technical Writer
Sales,Flexible,Creative,Low,Medium,Medium,Medium,Medium,Fine Arts,14,Medium,Medium,Medium,Low,High,Kinesthetic,0,High,Doctor,Flexible,Yes,Masters,3.12,Finance,Yes,Yes,Low,Routine,Low,High,6,Freelance,Remote,Low,<30k,Innovation,No,0,No,Low,Low,Medium,Medium,High,Astronomer
Human Resources,Flexible,Practical,High,Low,Low,Medium,Medium,Philosophy,15,High,Low,Low,Low,High,Reading/Writing,5,Medium,Public Relations,Urban,Yes,PhD,3.97,Tech,Yes,No,Medium,Routine,Low,Low,7,Freelance,On-site,Medium,<30k,Recognition,No,20,Yes,Low,Medium,Low,Medium,Medium,Cybersecurity Analyst
Consulting,Collaborative,Creative,Low,High,Medium,High,Medium,History,1,High,Low,Medium,Low,High,Kinesthetic,4,High,Consulting,Urban,No,Masters,3.56,Finance,Yes,No,High,Routine,Medium,Medium,6,9â€“5,Remote,Medium,<30k,Recognition,Yes,0,No,Low,High,High,High,Low,Flight Attendant
Medical,Flexible,Analytical,Low,Medium,High,Medium,Medium,Marketing,6,Low,Medium,High,Medium,High,Kinesthetic,3,Low,Marketing,Urban,No,PhD,3.03,Retail,No,No,Low,Dynamic,High,Low,7,9â€“5,On-site,Low,30kâ€“60k,Security,No,8,Yes,Medium,Medium,Medium,Low,Medium,Teaching
Doctor,Independent,Strategic,Medium,High,Low,Medium,Medium,Hospitality Management,16,Low,Low,Medium,Low,Low,Auditory,2,Medium,Human Resources,Flexible,Yes,Masters,3.45,Healthcare,No,Yes,Medium,Dynamic,Low,High,2,Freelance,On-site,High,30kâ€“60k,Security,No,4,No,Medium,Medium,High,High,Medium,UX/UI Designer
Engineering,Independent,Strategic,Medium,Low,Medium,High,Medium,Sociology,4,Low,High,Low,Medium,High,Visual,5,High,Human Resources,Urban,Yes,Diploma,3.98,Education,Yes,Yes,Medium,Dynamic,High,Low,1,9â€“5,Remote,Medium,<30k,Innovation,Yes,20,No,High,High,Medium,Medium,Low,Doctor
Lawyer,Independent,Strategic,High,High,High,High,Medium,Environmental Science,14,Medium,Medium,Medium,Medium,High,Kinesthetic,2,High,Engineering,Rural,Yes,Masters,2.84,Construction,No,Yes,High,Routine,Low,Medium,3,Shifts,On-site,Low,<30k,Helping Others,Yes,16,No,High,Medium,Medium,High,High,Journalism
Marketing,Flexible,Practical,High,High,Low,High,Medium,Graphic Design,9,Low,Medium,Medium,High,Low,Reading/Writing,4,Medium,Engineering,Rural,Yes,Masters,3.15,Healthcare,Yes,Yes,Medium,Routine,Medium,Low,3,Shifts,On-site,Medium,30kâ€“60k,Innovation,Yes,6,No,Medium,Medium,High,High,Medium,Public Relations
Public Relations,Independent,Analytical,Medium,Medium,High,High,Low,Environmental Science,5,Low,Medium,High,Medium,Low,Reading/Writing,4,Medium,Design,Urban,Yes,Masters,3.03,Retail,Yes,Yes,Low,Routine,High,Low,6,9â€“5,On-site,Low,30kâ€“60k,Helping Others,Yes,10,No,High,Low,Low,Medium,High,Hospitality
Hospitality,Collaborative,Strategic,Medium,High,Low,Medium,Medium,Law,4,Medium,High,Medium,High,Medium,Reading/Writing,3,High,Business,Rural,No,Bachelors,2.95,Finance,No,No,Medium,Routine,Medium,Medium,9,Shifts,Hybrid,Low,60kâ€“100k,Recognition,Yes,0,Yes,Low,Medium,Low,Medium,Low,Arts
Finance,Independent,Practical,Low,Low,Medium,Medium,Low,Computer Science,16,High,Medium,Medium,Medium,High,Auditory,0,High,Legal,Flexible,Yes,PhD,2.06,Arts,No,No,Low,Routine,Low,Low,2,9â€“5,On-site,Low,<30k,Recognition,No,3,Yes,Low,High,Low,High,High,Teaching
Technology,Flexible,Analytical,Low,Low,Medium,Low,High,Philosophy,12,Medium,High,Low,Low,Low,Auditory,0,Medium,Engineering,Rural,No,Diploma,3.42,Education,No,Yes,High,Dynamic,Medium,Medium,6,9â€“5,On-site,Low,<30k,Innovation,Yes,6,Yes,Medium,Medium,High,High,Medium,Data Scientist
Business,Flexible,Analytical,Medium,Medium,Low,High,Low,Physics,17,High,Medium,High,Medium,Low,Visual,2,Low,Mathematics,Urban,No,PhD,3.45,Construction,Yes,Yes,Low,Routine,Medium,Medium,6,Shifts,On-site,High,<30k,Recognition,Yes,3,No,Medium,High,Medium,Medium,High,Therapist
Engineering,Independent,Creative,High,Low,High,Medium,Low,Physics,3,Low,Medium,Medium,High,High,Visual,4,Medium,Sales,Rural,No,Masters,2.55,Arts,No,No,High,Routine,Low,Medium,2,Freelance,Remote,High,30kâ€“60k,Helping Others,Yes,11,Yes,High,Low,High,High,Low,Chef
Engineering,Flexible,Practical,Medium,Medium,Low,Medium,Medium,Sociology,0,Medium,High,High,Low,High,Visual,1,Medium,Architecture,Urban,No,Masters,2.31,Tech,Yes,No,Low,Routine,High,Medium,7,Shifts,Hybrid,Low,<30k,Helping Others,No,8,No,High,Medium,Medium,High,Medium,Lawyer
Human Resources,Flexible,Creative,Medium,Medium,Medium,Low,Low,Accounting,9,Medium,High,High,Low,Low,Kinesthetic,0,Medium,Business,Flexible,No,Masters,3.65,Arts,No,No,Medium,Routine,High,Medium,0,9â€“5,Remote,Low,60kâ€“100k,Innovation,No,18,No,High,Medium,Low,Low,Low,Animator
Hospitality,Collaborative,Creative,Low,Medium,High,Low,Medium,Political Science,1,High,Low,High,Medium,Medium,Auditory,4,Low,Finance,Flexible,No,Bachelors,2.95,Healthcare,No,No,Medium,Routine,Low,Low,0,Freelance,Hybrid,High,<30k,Helping Others,No,13,Yes,Low,Medium,Medium,Medium,Medium,Education
Lawyer,Independent,Creative,Medium,High,High,Medium,Medium,Architecture,3,Medium,Medium,Low,Low,High,Kinesthetic,0,High,Finance,Rural,No,PhD,2.27,Arts,No,Yes,Medium,Routine,Medium,High,1,Shifts,Hybrid,Medium,>100k,Recognition,No,18,Yes,Low,High,Medium,Medium,High,Biotechnologist
Medical,Independent,Strategic,Low,High,High,High,Medium,Fine Arts,12,High,Medium,High,Medium,Medium,Visual,2,Low,Human Resources,Urban,No,Masters,2.73,Retail,No,No,Low,Routine,Medium,Low,5,Freelance,Remote,High,30kâ€“60k,Security,Yes,10,No,High,Medium,High,Medium,High,Event Planner
Lawyer,Independent,Practical,Low,Low,Medium,Low,Low,Political Science,7,High,High,Medium,High,Low,Visual,5,Low,Design,Rural,No,Masters,3.89,Finance,No,Yes,Medium,Routine,Medium,Medium,9,Freelance,On-site,Medium,<30k,Innovation,No,2,No,High,Medium,Medium,Low,Low,Geologist
Technology,Independent,Strategic,Low,High,High,Low,Low,Graphic Design,18,Medium,Low,Medium,Medium,High,Visual,5,Low,Education,Flexible,No,Bachelors,2.1,Education,No,Yes,Medium,Dynamic,High,Medium,9,9â€“5,On-site,Medium,60kâ€“100k,Security,No,18,No,High,Low,High,High,High,Mechanical Engineer
Lawyer,Flexible,Strategic,High,Medium,High,High,Medium,Business Administration,1,Medium,Medium,Low,Low,Medium,Kinesthetic,2,Medium,Lawyer,Flexible,No,PhD,3.36,Arts,No,Yes,High,Dynamic,High,Low,8,Freelance,Remote,High,>100k,Security,Yes,11,Yes,Low,High,Medium,Low,High,Hospitality
Technology,Independent,Strategic,Medium,High,Medium,High,Low,Finance,12,High,Low,Low,High,High,Auditory,1,Medium,Marketing,Urban,No,Diploma,2.89,Tech,Yes,No,Low,Routine,Medium,Medium,3,9â€“5,Hybrid,Low,>100k,Helping Others,Yes,4,No,Medium,Medium,Low,Low,Medium,Doctor
Engineering,Collaborative,Analytical,Medium,High,Low,Medium,Medium,Political Science,13,High,Low,High,High,Low,Kinesthetic,3,High,Human Resources,Rural,No,PhD,2.47,Law,No,Yes,Medium,Routine,High,Medium,0,9â€“5,Hybrid,Medium,>100k,Security,No,6,Yes,High,Low,Medium,Medium,Medium,Software Developer
Mathematics,Collaborative,Creative,Medium,Low,Low,High,Low,Economics,3,Medium,Medium,Low,High,Medium,Visual,2,Medium,Education,Flexible,No,Masters,3.2,Finance,Yes,Yes,Low,Routine,Medium,Low,0,9â€“5,Hybrid,Medium,60kâ€“100k,Innovation,No,18,Yes,High,High,Medium,High,High,UX/UI Designer
Journalism,Flexible,Analytical,Medium,Medium,High,Medium,Medium,Graphic Design,6,Medium,Medium,Medium,High,Medium,Visual,0,Low,Education,Rural,No,PhD,2.89,Tech,No,Yes,Medium,Routine,Medium,Medium,9,Shifts,Hybrid,Medium,30kâ€“60k,Helping Others,No,8,No,Low,High,Medium,Low,Low,Journalism
Education,Independent,Analytical,Medium,High,Medium,Medium,Medium,Economics,10,High,Medium,Low,High,Low,Reading/Writing,3,Medium,Lawyer,Flexible,Yes,Bachelors,2.93,Education,No,No,Medium,Dynamic,Low,High,6,Shifts,Remote,Low,30kâ€“60k,Helping Others,No,1,No,Low,Low,High,Medium,Low,Education
Technology,Flexible,Creative,Low,High,High,High,Low,Environmental Science,5,Low,Medium,High,Low,Low,Visual,1,Medium,Doctor,Rural,No,Bachelors,2.48,Education,Yes,Yes,Low,Dynamic,Low,Medium,7,Freelance,Hybrid,High,30kâ€“60k,Security,No,10,No,Low,High,High,High,Medium,Hotel Manager
Technology,Collaborative,Analytical,High,High,Medium,Medium,Medium,Psychology,8,Low,Low,High,Medium,Low,Visual,2,High,Finance,Flexible,Yes,PhD,2.21,Tech,Yes,Yes,High,Dynamic,High,Medium,2,Freelance,On-site,High,>100k,Security,No,6,No,High,Medium,Low,Low,High,Game Developer
Mathematics,Flexible,Practical,Medium,Medium,Low,Medium,Low,Engineering,11,High,Low,High,Medium,Medium,Reading/Writing,3,Low,Arts,Rural,No,PhD,2.62,Retail,No,No,Low,Routine,Medium,Medium,8,Shifts,Hybrid,High,30kâ€“60k,Security,Yes,13,Yes,Low,High,Medium,Low,Medium,UX/UI Designer
Design,Collaborative,Strategic,Medium,High,Low,High,Medium,Psychology,11,Medium,Low,Medium,Low,Low,Reading/Writing,1,Medium,Medical,Urban,No,PhD,2.79,Construction,No,Yes,Low,Dynamic,Medium,Medium,3,Shifts,Remote,Medium,>100k,Innovation,Yes,0,No,High,High,Low,Low,Low,Education
Consulting,Collaborative,Strategic,Low,Medium,High,Medium,Medium,Law,16,Low,Medium,Medium,Low,High,Kinesthetic,5,Medium,Arts,Rural,Yes,Masters,2.07,Construction,No,Yes,Low,Dynamic,Low,High,6,Freelance,On-site,High,<30k,Security,No,15,No,Low,Low,High,Medium,Low,Pharmacist
Finance,Independent,Strategic,Medium,Medium,Medium,High,Low,Education,5,Low,Low,High,Medium,Medium,Reading/Writing,3,Medium,Education,Rural,No,Diploma,3.11,Healthcare,No,No,High,Routine,Medium,Low,10,9â€“5,Remote,High,30kâ€“60k,Innovation,No,19,No,Medium,Low,High,Low,Medium,Engineering
Mathematics,Collaborative,Strategic,Medium,High,Medium,Medium,Medium,Marketing,6,High,Medium,Low,High,Medium,Kinesthetic,0,Low,Hospitality,Rural,No,Bachelors,2.75,Arts,Yes,No,Low,Dynamic,High,Medium,9,Freelance,Hybrid,High,30kâ€“60k,Innovation,No,10,Yes,Low,Low,High,High,Medium,Hospitality
Design,Collaborative,Analytical,Medium,High,Medium,High,Low,Statistics,5,High,Medium,High,Low,High,Auditory,0,Low,Journalism,Urban,Yes,Bachelors,2.45,Healthcare,Yes,No,Low,Dynamic,Medium,High,7,Shifts,Hybrid,Medium,<30k,Innovation,No,17,Yes,Low,High,High,Low,Medium,Social Media Manager
Hospitality,Independent,Practical,Medium,Low,Low,Medium,Medium,Environmental Science,14,High,High,Medium,Low,Medium,Reading/Writing,0,Low,Arts,Flexible,No,PhD,3.61,Healthcare,No,Yes,Low,Routine,High,High,0,Shifts,Hybrid,Low,>100k,Security,No,0,Yes,Medium,Medium,Low,Low,High,Civil Engineer
Public Relations,Collaborative,Practical,Medium,High,Low,High,Medium,Biology,4,High,Low,Low,High,Medium,Auditory,2,Low,Marketing,Rural,No,Masters,3.05,Retail,Yes,Yes,Low,Dynamic,High,Low,7,9â€“5,Hybrid,High,30kâ€“60k,Recognition,No,8,No,High,High,Medium,Medium,High,Medical
Journalism,Collaborative,Practical,High,Medium,High,High,Medium,Hospitality Management,10,High,Medium,Medium,Low,Medium,Visual,5,Low,Sales,Urban,Yes,Bachelors,2.66,Finance,No,No,High,Routine,Medium,Low,5,Freelance,Hybrid,High,30kâ€“60k,Innovation,Yes,2,Yes,High,Low,Medium,Low,Low,Arts
Human Resources,Collaborative,Practical,Low,High,Low,Medium,Medium,Mechanical Engineering,1,Medium,Medium,High,Medium,Low,Visual,5,Medium,Marketing,Flexible,Yes,Diploma,3.29,Construction,No,No,Low,Routine,Low,Medium,9,Freelance,On-site,Medium,30kâ€“60k,Recognition,Yes,20,Yes,Low,Medium,High,Low,Low,Content Writer
Education,Collaborative,Strategic,Low,High,Low,High,Low,Mechanical Engineering,10,Medium,Medium,Low,Low,Medium,Reading/Writing,3,Medium,Arts,Urban,No,PhD,3.31,Education,No,Yes,Low,Routine,Medium,Medium,4,Shifts,Hybrid,High,>100k,Security,Yes,12,Yes,High,Medium,Medium,High,Medium,Astronomer
Doctor,Independent,Creative,Low,Medium,Medium,Low,Low,Civil Engineering,18,Low,Medium,Low,Low,Low,Reading/Writing,4,Medium,Architecture,Flexible,Yes,Bachelors,3.55,Retail,Yes,Yes,Medium,Dynamic,High,Medium,5,Shifts,Hybrid,Low,<30k,Innovation,Yes,10,No,Medium,Medium,Medium,High,Low,Marketing
Marketing,Independent,Strategic,High,Low,Medium,Medium,Low,Accounting,17,Medium,Medium,High,Low,Medium,Kinesthetic,2,High,Human Resources,Rural,No,Bachelors,2.49,Arts,Yes,Yes,Low,Dynamic,Medium,Medium,8,9â€“5,Hybrid,High,30kâ€“60k,Security,No,4,Yes,High,High,High,High,Low,Financial Planner
Engineering,Collaborative,Analytical,Medium,Medium,Medium,Medium,Low,Graphic Design,7,Medium,High,High,Low,Medium,Auditory,5,Medium,Doctor,Flexible,Yes,Masters,3.94,Tech,No,No,Medium,Routine,Low,Low,10,9â€“5,On-site,Low,<30k,Recognition,Yes,13,Yes,Medium,High,High,High,High,Chef
Engineering,Flexible,Creative,Medium,Medium,High,Low,Medium,Finance,14,Low,Medium,Low,Medium,High,Auditory,0,Medium,Teaching,Rural,Yes,PhD,3.68,Healthcare,Yes,Yes,High,Routine,Low,Medium,8,Freelance,Remote,Medium,60kâ€“100k,Security,No,18,Yes,Medium,Low,Medium,Medium,Medium,Technical Writer
Lawyer,Collaborative,Analytical,Medium,High,High,Medium,Low,Computer Science,14,High,Medium,Medium,Medium,Medium,Visual,1,Low,Marketing,Rural,No,PhD,2.59,Arts,No,Yes,High,Dynamic,Medium,Medium,4,Shifts,On-site,Low,60kâ€“100k,Recognition,No,3,Yes,High,Low,Medium,Medium,Medium,Animator
Medical,Flexible,Practical,High,High,Medium,Medium,Medium,Environmental Science,20,Low,Medium,Medium,Low,Low,Auditory,0,High,Finance,Rural,Yes,PhD,2.96,Finance,No,Yes,Medium,Routine,Medium,Low,6,Freelance,On-site,High,>100k,Helping Others,Yes,8,No,Low,Medium,High,Low,Medium,Architecture
Teaching,Collaborative,Practical,High,Medium,High,Medium,Low,Sociology,4,High,Low,Medium,Low,Medium,Auditory,2,High,Medical,Flexible,Yes,Masters,3.13,Healthcare,No,Yes,High,Routine,Low,Medium,10,Freelance,On-site,High,60kâ€“100k,Helping Others,No,19,No,Low,Low,High,High,Medium,Engineering
